paper,title,affiliation,author
s72-2,1D車両システムモデルを活用したハイブリッド車両の最適な熱及びパワーマネージメント制御の検討,マツダ,noname
s72-2,1D車両システムモデルを活用したハイブリッド車両の最適な熱及びパワーマネージメント制御の検討,早稲田大学,noname
s64-3,2-D Numerical Modeling on the Urea SCR Catalyst Installed in a Diesel Engine,Waseda University,noname
s69-3,3次元デジタル画像相関法を用いたタイヤ試験における振動解析,構造計画研究所,noname
s69-3,3次元デジタル画像相関法を用いたタイヤ試験における振動解析,高知工科大学,noname
s69-3,3次元デジタル画像相関法を用いたタイヤ試験における振動解析,小野測器,noname
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,トヨタ自動車,noname
s39-1,3次元燃料電池シミュレーションによるセル設計と性能・耐久性予測,みずほリサーチ&amp;テクノロジーズ,noname
s41-3,450kW走行中充電インフラのバス高速輸送システム（BRT）への適用方法の研究,日本自動車研究所,noname
s41-3,450kW走行中充電インフラのバス高速輸送システム（BRT）への適用方法の研究,本田技術研究所,noname
s71-2,4輪インホイールモータのトルク制御に基づくスリップ率推定手法の開発,日立製作所,noname
s48-4,6 Bar Link Operation Analysis Using Multi-body Dynamics,DAEDONG HI-LEX,noname
s48-4,6 Bar Link Operation Analysis Using Multi-body Dynamics,Hyundai Motors Namyang Laboratory,noname
s78-2,A Comprehensive Approach to Hydrogen Vehicle Crash Testing Challenges,Applus+ IDIADA,noname
s44-3,A Hybrid BEM-SEA Approach to Assess and Mitigate AVAS-Induced Cabin Noise: Balancing Safety and Comfort,ESI Group a part of Keysight Technologies,noname
s48-1,A Research for AI driven Advanced Performance Evaluation of Exterior Closure System,Hyundai Motor,noname
s46-5,A Review on Inverter Testing Methodologies for Electric Vehicle Industry,Applus IDIADA,noname
s57-1,A simulative investigation for transient engine development involving methanol and ammonia fuel blends,Guangdong Technion Israel Institute of Technology,noname
s84-1,A Study of Haptic Simulator for Virtual Door Open &amp; Close Feeling Test,Hyundai Motor,noname
s84-1,A Study of Haptic Simulator for Virtual Door Open &amp; Close Feeling Test,KAIST,noname
s18-3,A Study on Harmonic Performance for EV SUV Aftershock Improvement<br>-In View of Frequency Seperation and Bushing Cahracteristics-,DH R&amp;T Company,noname
s18-3,A Study on Harmonic Performance for EV SUV Aftershock Improvement<br>-In View of Frequency Seperation and Bushing Cahracteristics-,Hyundai Motor,noname
s18-3,A Study on Harmonic Performance for EV SUV Aftershock Improvement<br>-In View of Frequency Seperation and Bushing Cahracteristics-,PH Company,noname
s84-5,A Study on Optimal Energy use for operating moving parts in vehicle,Hyundai Motor,noname
s29-7,A Study on the change of bio-signals under driver stress,Hyundai Motor,noname
s29-7,A Study on the change of bio-signals under driver stress,UNIST,noname
s69-1,A Study on the Fail-Safe Technology of the Tire Built-in Sensor Using the Tire Deformation Model,Chungnam National University,noname
s69-1,A Study on the Fail-Safe Technology of the Tire Built-in Sensor Using the Tire Deformation Model,Illinois Institute of Technology,noname
s49-5,A Study on the Multifunctional Protection Bumper cover of Autonomous Driving Sensor,Hyundai Motor,noname
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,Hyundai Motor,noname
s22-6,A Study on Vaporizing foil actuator welding (VFAW) for steel-aluminum dissimilar metals joining without hardware,Hyundai Motor,noname
s22-6,A Study on Vaporizing foil actuator welding (VFAW) for steel-aluminum dissimilar metals joining without hardware,Incheon National University,noname
s23-3,Advanced numerical method for weight optimization under consideration of integrated and innovative design trends,FEV Group,noname
s23-3,Advanced numerical method for weight optimization under consideration of integrated and innovative design trends,FEV Japan,noname
s23-3,Advanced numerical method for weight optimization under consideration of integrated and innovative design trends,FEV Vehicle GmbH,noname
s80-3,Advancing Automated Driving Systems development and safety evaluation with the Automated Mobility Partnership,Global Center for Automotive Performance Simulation,noname
s80-3,Advancing Automated Driving Systems development and safety evaluation with the Automated Mobility Partnership,Virginia Tech Transportation Institute,noname
s81-7,AI-based low pressure fuel pump pressure sensor prediction model by Super TML,Hyundai Motor,noname
s27-2,AI-Formulaにおける自動走行システムのための視覚ベース制御,群馬大学,noname
s27-2,AI-Formulaにおける自動走行システムのための視覚ベース制御,工学院大学,noname
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,マツダ,noname
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,広島大学,noname
s27-1,AIフォーミュラ開催に向けた取り組み,本田技術研究所,noname
s37-3,Al-接着剤界面の引張試験中でのマルチスケールCT観察,九州大学,noname
s37-3,Al-接着剤界面の引張試験中でのマルチスケールCT観察,高輝度光科学研究センター,noname
s37-3,Al-接着剤界面の引張試験中でのマルチスケールCT観察,日産アーク,noname
s80-5,Analysis of Causes for Single Motorcycle Accidents in Hilly and Mountainous Areas Using Motorcycle Driving Simulator,Suwa University of Science,noname
s66-2,Analysis of Real Driving Emissions Measurements During Adverse Weather Conditions Using a Laser Spectroscopy Based Portable Emissions Measurement System,HORIBA,noname
s55-2,AOIプロジェクト燃料を使った希釈・希薄燃焼時のWLTC走行時の車両燃費予測,茨城大学,noname
s55-2,AOIプロジェクト燃料を使った希釈・希薄燃焼時のWLTC走行時の車両燃費予測,千葉大学,noname
s75-1,Application of the Momentum Algorithm for Active Noise Control<br>-Fast Convergence for the HVAC Compressor Noise in an Autonomous Bus-,Inha University Department of Mechanical Engineering,noname
s11-1,Assessing automotive cybersecurity vulnerabilities with generative adversarial networks,IDIADA Automotive Technology SA,noname
s84-4,Assessing Driver Engagement in a Driving Simulator,Applus+ IDIADA,noname
s19-2,Asymmetry of tire vibration as a source of road noise,Ishihamagiken Consulting,noname
s30-2,Automotive towards SDV - Challenges and opportunities in ADAS&amp;AV features,IDIADA Automotive,noname
s67-4,BEVにおける熱マネジメントシステムの1Dモデル開発,DENSO Automotive Systems Australia,noname
s67-4,BEVにおける熱マネジメントシステムの1Dモデル開発,デンソー,noname
s56-4,Brake Emission Reduction Approaches under the impact of EU7,AVL Japan K.K.,noname
